LAMMPS data file via script

500 atoms
1 atom types

0.0 5.0 xlo xhi
0.0 5.0 ylo yhi
0.0 5.0 zlo zhi

Atoms

1 1 0.668491 3.377656 0.515281
2 1 2.055512 1.986005 2.408499
3 1 2.961344 4.147717 2.706524
4 1 2.850306 1.595703 1.81225
5 1 1.521257 2.304745 2.524919
6 1 3.184159 4.723619 1.477485
7 1 0.382626 1.418666 2.008396
8 1 4.985767 1.569981 1.727134
9 1 1.644818 2.431132 1.152045
10 1 2.919633 1.25148 4.322931
11 1 4.127736 0.266299 0.874395
12 1 0.061546 0.929522 0.119674
13 1 2.934737 2.924754 1.078901
14 1 2.837923 4.984675 4.127243
15 1 3.957977 0.309352 4.59947
16 1 1.942589 3.878775 0.016419
17 1 4.912531 0.853089 4.203125
18 1 2.900704 3.137195 0.39831
19 1 3.683021 3.552366 2.041219
20 1 2.030215 4.673926 4.262844
21 1 4.205309 1.109314 0.483679
22 1 4.537496 0.499919 4.871602
23 1 0.146656 2.069243 1.9845
24 1 3.90076 0.377544 1.741804
25 1 1.541714 2.466338 1.841833
26 1 3.41441 4.674324 0.051931
27 1 2.776672 3.809805 1.367418
28 1 2.723445 0.219241 0.028707
29 1 1.484242 2.948792 0.497134
30 1 4.963841 3.818755 3.165492
31 1 1.42554 0.858837 1.524851
32 1 3.961154 0.87838 2.612282
33 1 3.545507 1.791368 3.481495
34 1 3.343632 1.496823 3.418358
35 1 4.585495 3.249307 2.344818
36 1 0.581962 1.057181 4.640135
37 1 3.822735 1.103571 2.152892
38 1 3.679215 3.083264 2.419814
39 1 0.231601 4.043395 3.296536
40 1 4.3553 0.727896 4.350835
41 1 4.972487 1.810299 2.599789
42 1 2.197471 4.949029 2.333143
43 1 3.536456 2.789471 1.002969
44 1 0.04158 4.761564 1.510706
45 1 0.756998 4.845237 1.933026
46 1 4.268267 0.792761 1.096287
47 1 4.35141 1.535467 1.305386
48 1 0.648304 2.326633 1.255268
49 1 4.803733 4.44594 3.42522
50 1 0.074266 2.151655 2.205782
51 1 0.608417 0.056384 4.538145
52 1 3.536664 0.55842 3.53374
53 1 2.424985 3.414684 1.114923
54 1 0.79852 3.163787 3.952329
55 1 0.606291 2.026701 3.916349
56 1 3.972459 4.100644 3.490204
57 1 3.766618 4.969435 3.069403
58 1 3.55358 4.472457 3.021458
59 1 3.719661 0.504292 2.130825
60 1 1.808861 2.683186 1.878379
61 1 2.032417 1.81122 2.976914
62 1 4.626835 1.768532 3.485383
63 1 3.21829 1.319673 0.686036
64 1 2.382942 3.720648 1.455881
65 1 4.496854 1.008039 1.62944
66 1 2.574043 4.401045 1.871067
67 1 1.047072 4.702364 3.453899
68 1 1.821619 2.42943 2.390497
69 1 2.464784 1.119682 4.948408
70 1 2.479071 2.103964 0.22682
71 1 4.489058 3.266359 3.83136
72 1 4.099814 4.290844 4.363941
73 1 4.482954 1.101722 0.876188
74 1 1.817543 4.189463 4.991703
75 1 4.79342 4.221401 4.963463
76 1 3.268451 1.702244 0.261495
77 1 1.673758 1.116472 4.135508
78 1 3.122547 1.945859 2.939727
79 1 1.146232 2.141878 3.429012
80 1 4.03044 1.86022 1.170233
81 1 2.917664 2.312514 2.521839
82 1 0.623503 3.900649 3.0774
83 1 0.489637 2.767664 1.196046
84 1 3.030373 3.178679 0.021073
85 1 0.952294 3.068639 0.968893
86 1 2.559984 3.587265 0.630742
87 1 0.871193 0.745652 3.876385
88 1 2.771325 0.057276 2.081087
89 1 4.501949 2.195751 3.131469
90 1 1.507041 2.405308 4.783927
91 1 4.751552 0.15047 4.573309
92 1 0.4854 2.762515 1.169619
93 1 4.212183 2.031216 2.702512
94 1 0.150197 1.367534 3.652581
95 1 2.150729 4.206184 0.324047
96 1 4.819222 4.55976 0.393117
97 1 2.373315 3.493176 4.963469
98 1 0.440382 2.451377 3.403309
99 1 3.143739 0.257769 0.420128
100 1 3.587015 4.159573 2.177957
101 1 4.663671 1.179529 3.85898
102 1 1.365594 3.594294 3.741368
